0,1,2,source,0_syllables,1_syllables,2_syllables
I don't listen to, any of you you can't get,my special Ha Ha,twaiku,5,7,5
What a BEAUTIFUL, evening honestly feel like,am on holiday,twaiku,5,7,"5,6"
i'm sorry that i, miss you but it's cool get to,see you in my dreams,twaiku,5,7,5
don't trust people that, don't have a different voice,when talking to dogs,twaiku,5,"6,7",5
Andretti ugh been, there done that i'm sorry feel,better soon sweetie,twaiku,5,7,5
when used not abused, sex is a useful tool in,a relationship,twaiku,5,7,5
I appreciate, what god did for me when he,designed me Gift Curse,twaiku,5,7,5
Either my teacher, talkin in pig latin or,this shit confusing,twaiku,5,7,5
Every single, day I say to myself at,least once I hate folk,twaiku,"4,5",7,5
Uranium One, are a few of the Russian,key words the trolls used,twaiku,5,7,5
Is there any type, of magic he can use to,resurrect people,twaiku,5,7,5
I want to protect, that smile Your smile Your smile means,everything to me,twaiku,5,7,5
Riverdale can fuck, off knew there was a reason,I stopped watching it,twaiku,5,7,5
for the nearest way, By this time of high water,One of the elect,twaiku,5,7,5
i was HARASSED and, now its a trend my culture,isn't your costume,twaiku,5,7,5
Not really sure how, you feel about it something,in the way you move,twaiku,5,7,5
Kiss ass cabinet, They ARE deplorable self,serving hypocrites,twaiku,"4,5",7,5
Agreed Lime skittles, were the shit when I was a,kid Green Apple sucks,twaiku,5,7,5
I cannot wait to, vote all of these scumbags the,fuck out of office,twaiku,5,7,5
so everyone thinks, you aren't friends anymore,and something went down,twaiku,5,"6,7",5
Dank memes are going, to be in the history,books let that sink in,twaiku,5,"6,7",5
Apologies to, Lord Shen a bird has brought shame,for being happy,twaiku,5,7,5
Failed My Drivers Test, Because I Wanted To Plug,The Aux Cord In First,twaiku,5,7,5
Don't hurt the person, whose only intention was,to make you happy,twaiku,5,7,5
The tiny farmer, showed a shiny stone to the,tiny happy guy,twaiku,5,7,5
Being tired and, not being able to fall,asleep is torture,twaiku,5,7,5
Men only want a, smart woman until they get,one smarter than them,twaiku,5,7,5
I'm always calling, something Ghetto but shit be,fold and Ghetto though,twaiku,5,7,5
About to put my, kayak in the pool just so,I can be on it,twaiku,5,7,5
I emailed you a, couple week ago hoping,to hear from you soon,twaiku,5,7,5
If you intervened, they would have beat the crap out,of you with those canes,twaiku,5,7,5
learn interesting, information about corn,kernels cobs and crop,twaiku,"4,5",7,5
Hi and Hello you, still up late too How are you,Love the Mueller post,twaiku,5,7,5
The water pressure, is horrible I shouldn't,have to live like this,twaiku,5,7,5
i literally, just tripped and didn't get up,and started sobbing,twaiku,"4,5","6,7",5
People that don't have, your sauce can only look and,hate I'm convinced now,twaiku,5,7,5
i must be honest, i have a lot of pride but,i'm broken inside,twaiku,5,7,5
Seattle joins the, league has one season then it's,a lockout correct,twaiku,5,7,5
I think I'm going, to stream tonight for the first,time in a long time,twaiku,5,7,5
Here is your morning, laugh It's the only way to,get though this nightmare,twaiku,5,7,5
Feel like I'm doing, the right thing but I tend to,second guess myself,twaiku,5,7,5
Now shut up before, i shove this trout fish and bread,toast down your gullet,twaiku,5,7,5
nothing pushes me, away more than a lack of,communication,twaiku,5,7,5
A pretty face gets, attention but a pretty,heart gets commitment,twaiku,5,7,5
Yesterday leaking, breasts today dog wee this is,one hell of a week,twaiku,5,7,5
If someone offers, you unhelpful feedback say,thank you and move on,twaiku,5,7,5
Gonna wrap his arms, around him He missed the fuck,outta him A kiss,twaiku,5,7,5
Yeah I noticed on, our match and Arsenal,vs Liverpool,twaiku,5,"6,7",5
Donate it to a, organisation who can,make good use of it,twaiku,5,7,5
The real trouble with, reality is that there's,no background music,twaiku,5,7,5
waiting till next week, to get my brows and nails done,is real life torture,twaiku,5,7,5
That fat fail billy, Frankenstein hick sure can come,up with some good lies,twaiku,5,7,5
it's midterm season, i hope you guys all pass your,exams get your A's,twaiku,5,7,5
okay maybe im, a little conceited but,just always needed,twaiku,5,7,5
For one second I, thought this was real and almost,had a heart attack,twaiku,5,7,5
Mark opened the door, Bert was there He whispered to,Mark Let's go again,twaiku,5,7,5
don't complain about, a situation you keep,putting yourself in,twaiku,5,7,5
I take money out, leave my card spend the money,then go get my card,twaiku,5,7,5
Many lack knowledge, of Death Examination,Scripts before they die,twaiku,5,7,5
It's funny how girls, coochie hairs grows faster than,their actual hair,twaiku,5,7,"4,5"
the better question, is does dancing look dumb as,hell yes yes it does,twaiku,5,7,5
have you guys ever, googled blue waffle Like for,yes ignore for no,twaiku,5,7,5
If everything seems, under control you're just not,going fast enough,twaiku,5,7,5
I can't believe that, my cousins and brother just,made my day special,twaiku,5,7,5
I'm Mexican and, I can't even speak Spanish,How Embarrassing,twaiku,5,7,5
Candles lit music, playing Time to relax and,tune out everything,twaiku,5,7,5
when rico nasty, said punch that bitch right in her,face yeah i felt that,twaiku,5,7,5
What am I doing, I'M minding my business You,should try it sometime,twaiku,"5,6",7,5
Trying to convince, mom to just shut up and let,me do what I want,twaiku,"4,5",7,5
A caution sign but, that I wear around my neck,to warn everyone,twaiku,5,7,5
Green bull dies slowly, Fox in tremendous city,September cat eats,twaiku,5,7,5
I really want to, go out and do something but,I am SO TIRED,twaiku,5,7,"5,6"
Sometimes in life we, find comfort in people we,least expect it from,twaiku,5,7,5
Don't plan on seeing, First Man at theater on,DVD or streamed,twaiku,5,7,5
the ONLY way you, get a foul called on Replay,is if you're Lebron,twaiku,5,7,5
I literally, run thru money I need to,be rich already,twaiku,"4,5",7,5
I woke up ready, to argue today Ready,to pop the fuck off,twaiku,5,7,5
So not having Pep, isn't something I want to,see in the future,twaiku,5,7,5
Brooklyn Nine Nine is, my new favorite show and,I'm not looking back,twaiku,5,"6,7",5
Since I've noticed you, you shouldn't stop replying,the base from now on,twaiku,5,7,5
I'm so tired I, came to work w no,makeup Yoga pants,twaiku,5,7,5
I LOVE EVERYONE, I JUST HAVE THE ATTENTION,SPAN OF A FRUIT FLY,twaiku,5,7,5
Pages ripped out of, an accounting journal of,a local merchant,twaiku,5,7,5
Heard Bob Cooney was, eating dog food again on,the Super Bowl trip,twaiku,5,7,5
The question people, always asks themselves am i,hungry or just bored,twaiku,5,"8,7",5
Ain't nobody been, this happy to talk to me,in a fat minute,twaiku,5,7,5
Good interview for, what reason did your ex give,you a good hiding,twaiku,5,7,5
If she decides to, get back together then you,need a new sister,twaiku,5,7,5
Immediately, starts playing the drums which were,bowls and spoons for sticks,twaiku,5,7,5
Sleep is the only, thing on my agenda for,the rest of this day,twaiku,5,7,5
I just wanted to, say your inspirational,man live long and well,twaiku,5,7,5
Who knows No offense, Michael but I don't think you,have THAT much power,twaiku,5,7,5
Conservative no, longer means what it used to,It now means Corrupt,twaiku,5,7,5
We forgot that in, Oregon they put in gas,for you We were shook,twaiku,5,7,5
I think my stomach, hate mondays I think it hates,hematology,twaiku,5,7,5
Y'all really gotta, put on a filter to say,a couple words lol,twaiku,5,7,5
These xtra jobs are, about to lick my ass but,it will be worth it,twaiku,5,7,5
Have you guys ever, thought you probably are not,the best at something,twaiku,5,"6,7",5
I have arisen, You will regret harming me,My vengeance at hand,twaiku,5,7,5
Listening to George, Strait can instantly put me,in a better mood,twaiku,"4,5",7,5
since when did subway, have a drive thru this is an,important question,twaiku,5,7,5
Drinks tea to prevent, coffee addiction is now,addicted to tea,twaiku,5,7,5
You love someone but, suddenly he treated you,as younger sister,twaiku,5,7,5
I haven't smoke in, a week didn't think I could,do it but I did,twaiku,5,"6,7",5
Hopefully The BOLD, Collection will be hosting,s back to school drive,twaiku,5,7,5
change your life today, don't gamble on future act,now without delay,twaiku,5,7,5
Some women have a, mental issue and we need,to speak upon it,twaiku,5,7,5
The worst part about, booting people is when they,don't know they're boring,twaiku,5,7,5
Not tipping is just, the biggest middle finger,to your face ever,twaiku,5,7,5
He is not gonna, let his boo boo be great lol,keep messing with it,twaiku,5,7,5
Leo just laughed his, little butt off in his sleep,CUTEST LITTLE LAUGH,twaiku,5,7,5
wanna one made a, lot of memories with those,shows why delete 'em,twaiku,5,7,5
I love positive, people LOL like yes come here,with your good ass vibes,twaiku,5,7,5
Everyone wants to, listen but only few who,truly understand,twaiku,5,7,5
Without you in my, life baby I just wouldn't,be living at all,twaiku,5,7,5
How long until we, hear sorry we blew that call,from the NFL,twaiku,5,7,5
I've Wasted Enough, Of My Time On People Sons,Where Y'all Daddies At,twaiku,5,7,5
Ready for the day, to be over so my four,day weekend can start,twaiku,5,7,5
all my favourite, people in the world who mean,Everything to me,twaiku,5,7,5
and our love is, a ghost that the others can't,see It's a danger,twaiku,"4,5",7,5
Oh my Diana, I'm a great curator not,a great curator,twaiku,5,7,5
As time passes it, really sets in how little,you meant to someone,twaiku,5,7,5
I'm not sensitive, as the people thought meanwhile,not totally wrong,twaiku,5,7,5
Hey citizens of, Sweet Home your tax dollars were,spotted in Coos Bay,twaiku,5,7,5
YES I replayed that, part over and over when,I saw it and laughed,twaiku,5,7,5
Ok I love this, screen recording shit feel like,I'm doing something,twaiku,5,7,5
I don't understand, why people like to party,when they dead ass broke,twaiku,5,7,5
I'm so damn tired, I just wanna go to sleep,but I'm not done yet,twaiku,5,7,5
perfect legs tanned skin, drunk blush again and million,dollars abs,twaiku,5,7,"3,5"
I almost die for, Dom she was nervous and Kat,was so supportive,twaiku,5,7,5
Same old ABs, always benefitting from,officials' bias,twaiku,"3,5",7,5
about to have a, nervous breakdown in the line,for the new star wars,twaiku,5,7,5
No worries I'll be, getting Hibachi later,this week anyway,twaiku,5,7,5
Tiger Woods Plays Golf, Good Again Is Absolved Of,All Previous Sins,twaiku,5,7,5
Discipline my new, favorite word living by,it will change your life,twaiku,5,"6,7",5
Highly debating, falling asleep in my work,uniform right now,twaiku,5,7,5
I'm really about, to struggle trying to wrap,these Christmas presents,twaiku,5,"6,7",5
Imagine being, the Prime Minister and some,Tallest Man on Earth,twaiku,5,7,5
Patience will annoy, the hell out of you but it,can do you so good,twaiku,5,7,5
Imagine a man, telling you I just wanna,do right by you Lord,twaiku,5,7,5
Dude I fucking love, my girls they are the best I,could ever ask for,twaiku,5,7,5
It would be very, irresponsible of me,to go out tonight,twaiku,5,7,5
maybe you didn't, do anything at all that,you should have too late,twaiku,"4,5",7,5
Ok girl thanks for, your opinion Very much,appreciated,twaiku,5,7,5
People watching will, forever be one of my,favorite pastimes,twaiku,5,7,"4,5"
Whoever started, this despicable me meme,it's a no for me,twaiku,5,7,5
good morning all you, beautiful people who's down,to hangout today,twaiku,5,7,5
But if the English, language as an addition,to the receiver,twaiku,5,7,5
If Eli can get, three seconds he can still be,the Eli of old,twaiku,5,7,5
I only made one, mistake in my life that's when,I thought I was wrong,twaiku,5,7,5
Grateful to have my, auntie around She became,like my mum T T,twaiku,5,7,5
maybe we feel lost, when someone is looking for,us in the wrong place,twaiku,5,7,"5,6"
Black people be like, oh I'm about to go to,walmart I'll text you,twaiku,5,7,5
I literally, just wanna start traveling,when I graduate,twaiku,"4,5","6,7",5
some days are better, than other but today is,not one of those days,twaiku,5,7,5
I really got a, summer without turning up,I'll save some cheese tho,twaiku,5,7,5
RIP Tony Stephen, Hawk renowned physicist and,skateboarding legend,twaiku,5,7,5
bakker I wish my, pain was a receipt so I,could reconcile it,twaiku,5,7,5
If I would've said, it to him yesterday her,feelings would be hurt,twaiku,5,7,5
of course you being, so sexy explains why his,sausage is so big,twaiku,5,7,5
I really wanna, get in the bed but we have,to go to the gym,twaiku,5,7,5
So have white people, but when have they ever been,treated as less than,twaiku,5,7,5
y'all be so messy, putting all your business on,social media,twaiku,5,7,5
I could listen to, Tom Jackson talk football for,the rest of my life,twaiku,5,7,5
Great Kevin Hart is, hosting the Oscars I guess,we can't have nice things,twaiku,5,7,5
It was supposed to, be nice out today so I,could go for a walk,twaiku,5,7,5
The older I get, the more often I injure,myself in my sleep,twaiku,5,7,5
caramel candies, are so good i wonder if,ethan likes them too,twaiku,5,7,5
I can't believe my, daughter is gonna be a,year old in two days,twaiku,5,7,5
Actual maybe, i feel its a challenge to,make me up my game,twaiku,"4,5",7,5
Inside every, person you know there is a,person you don't know,twaiku,"4,5",7,5
